X,Y,ELEV,ELEVATION
645010.560,4474477.590,1444.890015,1444.89
645010.130,4474477.600,1445.060059,1445.06
645009.690,4474477.610,1445.130005,1445.13
645009.250,4474477.630,1445.150024,1445.15
645008.810,4474477.680,1445.170044,1445.17
645008.500,4474477.730,1445.199951,1445.2
645008.190,4474477.810,1445.229980,1445.23
645007.810,4474477.890,1445.229980,1445.23
645007.560,4474477.960,1445.290039,1445.29
645007.250,4474478.040,1445.300049,1445.3
645007.000,4474478.150,1445.180054,1445.18
645006.750,4474478.230,1445.180054,1445.18
645006.560,4474478.290,1445.150024,1445.15
645006.370,4474478.340,1445.150024,1445.15
645006.190,4474478.380,1445.160034,1445.16
645006.000,4474478.400,1445.189941,1445.19
645005.810,4474478.400,1445.219971,1445.22
645005.620,4474478.360,1445.260010,1445.26
645005.440,4474478.320,1445.260010,1445.26
645005.190,4474478.280,1445.310059,1445.31
645005.000,4474478.230,1445.359985,1445.36
645004.870,4474478.190,1445.380005,1445.38
645004.690,4474478.160,1445.449951,1445.45
645004.500,4474478.120,1445.530029,1445.53
645004.380,4474478.060,1445.489990,1445.49
645001.440,4474501.530,1445.969971,1445.97
645001.440,4474501.560,1445.969971,1445.97
645001.500,4474501.590,1445.989990,1445.99
645001.560,4474501.610,1445.959961,1445.96
645001.810,4474501.630,1445.890015,1445.89
645003.190,4474501.620,1445.550049,1445.55
645004.060,4474501.740,1445.410034,1445.41
645004.560,4474501.830,1445.300049,1445.3
645005.000,4474501.910,1445.250000,1445.25
645005.370,4474502.010,1445.260010,1445.26
645005.810,4474502.110,1445.199951,1445.2
645006.250,4474502.210,1445.119995,1445.12
645006.690,4474502.300,1445.050049,1445.05
645007.120,4474502.390,1445.000000,1445
645007.500,4474502.470,1444.969971,1444.97
645007.940,4474502.560,1444.969971,1444.97
645008.310,4474502.660,1444.910034,1444.91
645008.690,4474502.780,1444.880005,1444.88
645009.060,4474502.920,1444.880005,1444.88
645009.500,4474503.080,1444.880005,1444.88
645009.870,4474503.230,1444.910034,1444.91
645010.250,4474503.380,1444.910034,1444.91
645010.690,4474503.540,1444.910034,1444.91
645011.060,4474503.710,1444.900024,1444.9
645011.500,4474503.880,1444.859985,1444.86
645011.870,4474504.080,1444.859985,1444.86
645012.310,4474504.290,1444.859985,1444.86
645012.750,4474504.500,1444.849976,1444.85
645013.130,4474504.700,1444.829956,1444.83
645013.500,4474504.910,1444.849976,1444.85
645013.940,4474505.110,1444.869995,1444.87
645014.370,4474505.300,1444.859985,1444.86
645014.750,4474505.500,1444.859985,1444.86
645015.190,4474505.700,1444.859985,1444.86
645015.560,4474505.900,1444.819946,1444.82
645016.000,4474506.090,1444.849976,1444.85
645016.440,4474506.270,1444.849976,1444.85
645016.810,4474506.440,1444.810059,1444.81
645017.250,4474506.610,1444.790039,1444.79
645017.690,4474506.770,1444.920044,1444.92
645018.120,4474506.930,1444.930054,1444.93
645018.560,4474507.110,1444.959961,1444.96
645019.060,4474507.280,1444.989990,1444.99
645019.500,4474507.410,1445.089966,1445.09
645019.940,4474507.550,1445.150024,1445.15
645020.370,4474507.710,1445.180054,1445.18
645020.810,4474507.870,1445.160034,1445.16
645021.250,4474508.020,1445.020020,1445.02
645021.750,4474508.170,1444.989990,1444.99
645022.130,4474508.300,1444.890015,1444.89
645022.620,4474508.450,1444.880005,1444.88
645023.060,4474508.590,1444.920044,1444.92
645023.500,4474508.740,1445.030029,1445.03
645024.000,4474508.890,1445.079956,1445.08
645024.440,4474509.030,1445.000000,1445
645024.870,4474509.170,1445.030029,1445.03
645025.370,4474509.310,1444.939941,1444.94
645025.810,4474509.470,1445.010010,1445.01
